Gene	Expression
MgIM767.13G003200	27880.78872786457
MgIM767.10G127000	18899.891013484765
MgIM767.09G049300	13054.93006452766
MgIM767.13G087500	11482.585589749193
MgIM767.06G075100	10614.057321146462
MgIM767.04G139300	10230.196769997996
MgIM767.12G130200	9880.063629618706
MgIM767.08G011600	9659.050705672156
MgIM767.08G117700	9320.810564344956
MgIM767.13G086500	9224.010184598495
MgIM767.04G139500	9120.516725697786
MgIM767.13G087400	8835.420552928588
MgIM767.08G042100	8777.4651531864
MgIM767.03G128800	8507.78296705316
MgIM767.08G181500	8448.344245414128
MgIM767.13G177800	7801.426571531719
MgIM767.13G086600	7775.371924568644
MgIM767.13G150600	7622.630443594276
MgIM767.02G061400	7257.257207647231
MgIM767.08G195100	7055.819987380061
MgIM767.02G017600	6256.876072384177
MgIM767.13G185200	6083.008339775348
MgIM767.08G232700	5588.431280872279
MgIM767.06G100900	5370.531517443319
MgIM767.08G090800	5187.171218493872
MgIM767.04G211100	5076.484686225372
MgIM767.04G037000	5035.8890289822
MgIM767.02G070300	4981.276515420138
MgIM767.11G017400	4786.796970606495
MgIM767.05G112200	4750.711229311866
MgIM767.13G086700	4522.602873208391
MgIM767.09G107100	4494.7294931443375
MgIM767.04G007900	4031.9964668483526
MgIM767.13G087200	3817.103124176296
MgIM767.09G040600	3776.5933757663806
MgIM767.12G121000	3550.146224541999
MgIM767.08G184500	3517.8932700122264
MgIM767.12G177300	3425.1818595985465
MgIM767.08G070700	3238.131537394873
MgIM767.08G158300	3211.2642289514906
MgIM767.05G056400	3202.4663714895864
MgIM767.02G172000	3192.339970691571
MgIM767.12G170800	3153.7129438059133
MgIM767.08G129000	3047.823787196029
MgIM767.08G146500	2940.244628522245
MgIM767.10G113800	2898.201340788085
MgIM767.13G086800	2812.4159168040096
MgIM767.08G203200	2806.514659035477
MgIM767.13G086900	2765.2770119626643
MgIM767.13G023500	2684.491965928496
MgIM767.14G013200	2664.860960072775
MgIM767.04G101100	2657.9857750367137
MgIM767.01G003600	2532.381416754108
MgIM767.14G221200	2472.261916836605
MgIM767.01G003200	2399.119883701427
MgIM767.06G172200	2376.4623608367106
MgIM767.06G104100	2335.197400463394
MgIM767.04G060500	2329.3099736001545
MgIM767.13G060200	2266.623137422374
MgIM767.08G137900	2264.183977919022
MgIM767.14G224600	2255.964822345515
MgIM767.04G155400	2218.491512749953
MgIM767.10G126900	2214.2802976768394
MgIM767.02G150900	2118.2576863579866
MgIM767.08G110200	2102.495349077924
MgIM767.11G070800	2058.266564473901
MgIM767.04G048700	1895.0283272789943
MgIM767.13G060300	1812.841043467551
MgIM767.11G079400	1803.7152724192204
MgIM767.14G098400	1799.617807264168
MgIM767.14G283500	1737.614763339494
MgIM767.02G016700	1699.4271525461093
MgIM767.10G156900	1680.5396163267967
MgIM767.03G008400	1677.009463983053
MgIM767.04G093800	1661.2567018479997
MgIM767.04G201200	1650.0400076707313
MgIM767.04G190700	1618.252982313588
MgIM767.07G001900	1598.9577879609917
MgIM767.02G181600	1566.45276586034
MgIM767.13G118700	1562.0909298969414
MgIM767.12G087300	1542.0848947396453
MgIM767.10G086400	1525.118730637722
MgIM767.08G165400	1519.5403578796372
MgIM767.01G089400	1497.9229617047615
MgIM767.06G053300	1490.156050999021
MgIM767.10G114500	1454.1402970010424
MgIM767.11G047500	1452.0140014506562
MgIM767.06G138500	1404.43573291216
MgIM767.10G127100	1401.613115821151
MgIM767.14G051000	1375.8456128047662
MgIM767.05G079200	1375.1483465144245
MgIM767.14G314600	1367.8746987604122
MgIM767.14G122500	1366.8920243241432
MgIM767.13G039000	1358.9726099700922
MgIM767.07G039100	1327.8734806557047
MgIM767.10G166100	1320.3390696159718
MgIM767.03G054800	1319.174518338934
MgIM767.04G117800	1314.5164545346736
MgIM767.13G087100	1294.0442628183505
MgIM767.06G136700	1275.8880234661058
MgIM767.08G130200	1275.0892415544624
MgIM767.02G087900	1260.7852920315725
MgIM767.04G191100	1230.3762610745423
MgIM767.04G196900	1214.8901460177217
MgIM767.07G030400	1214.7171483668412
MgIM767.08G129100	1214.0125323320967
MgIM767.10G113700	1210.9874585221933
MgIM767.14G078100	1210.707867370848
MgIM767.11G089600	1198.4694849396146
MgIM767.08G105000	1151.708092791861
MgIM767.02G117400	1149.7017915304982
MgIM767.12G123800	1149.3074365426755
MgIM767.06G007600	1138.6862853300825
MgIM767.14G016700	1132.3100322775315
MgIM767.04G028900	1096.475427113648
MgIM767.14G081800	1095.601719894099
MgIM767.01G114000	1080.3968986014331
MgIM767.08G160300	1062.261816765064
MgIM767.13G068300	1048.604855961581
MgIM767.04G173200	1040.2810289792085
MgIM767.10G024400	1036.8667717215408
MgIM767.12G131100	1034.87654878108
MgIM767.09G010600	1032.5958566428922
MgIM767.02G028900	1029.0914103734826
MgIM767.09G041400	1022.7080184013256
MgIM767.14G250500	1011.3217449990606
MgIM767.14G212200	1005.7469882585806
MgIM767.09G074100	1002.6446361632125
MgIM767.11G002300	986.110562094446
MgIM767.04G005900	975.042962282359
MgIM767.12G159600	971.120006703465
MgIM767.06G181200	965.785190635582
MgIM767.14G103900	954.1665740223264
MgIM767.08G139200	950.6931095710266
MgIM767.08G229200	941.3504587771182
MgIM767.11G124800	941.2433049988686
MgIM767.03G124300	919.43188496784
MgIM767.11G065500	918.6838050741816
MgIM767.13G056700	918.294710682828
MgIM767.02G168700	915.9572408260506
MgIM767.12G134000	912.8907222584302
MgIM767.14G071500	904.964006278232
MgIM767.02G007000	903.4161237258884
MgIM767.13G125600	901.4504980046264
MgIM767.13G046400	899.287689388248
MgIM767.09G017900	899.1680441957487
MgIM767.12G041300	881.2680240943721
MgIM767.06G006200	878.070599925525
MgIM767.05G033400	876.1836160049828
MgIM767.11G075000	871.4966831833408
MgIM767.09G022900	858.1391242395848
MgIM767.10G081100	857.2448917872177
MgIM767.01G106200	856.3862450404887
MgIM767.09G087500	849.5195756988876
MgIM767.05G031200	848.3079556333395
MgIM767.05G133800	847.28634205281
MgIM767.08G168600	846.1041887537598
MgIM767.14G125200	838.4656461972302
MgIM767.08G003700	826.4543696605389
MgIM767.08G010700	820.6535723207173
MgIM767.03G066000	810.1548005010746
MgIM767.03G113100	809.1393090013272
MgIM767.09G060900	806.4935410063207
MgIM767.04G034300	792.7514109637734
MgIM767.14G110400	788.177901221805
MgIM767.08G138200	786.5859915252792
MgIM767.07G055200	786.2958588285716
MgIM767.08G220400	762.2819440616903
MgIM767.04G025200	755.8419375035446
MgIM767.13G048300	754.4651163995704
MgIM767.08G187400	747.1781848555088
MgIM767.04G181700	743.9107234833913
MgIM767.08G127800	736.3868515070892
MgIM767.10G126800	736.3215593283724
MgIM767.04G053700	735.0340400698744
MgIM767.14G076200	731.5649238960181
MgIM767.14G302300	723.477086081583
MgIM767.08G021800	721.5291960221947
MgIM767.05G022300	705.680977853557
MgIM767.14G130900	699.7688954956342
MgIM767.12G169100	698.7369822647106
MgIM767.12G068800	694.7177082473534
MgIM767.10G032500	693.7209937067925
MgIM767.11G054800	689.505170846242
MgIM767.09G014100	688.5715573254516
MgIM767.04G029500	685.5643722482342
MgIM767.11G031000	683.9565390297003
MgIM767.14G238100	679.8165074374791
MgIM767.11G050200	672.1844474801065
MgIM767.07G014900	669.8926494820146
MgIM767.14G090800	661.7594314400283
MgIM767.06G077000	658.7188698007537
MgIM767.14G305900	652.3475105654863
MgIM767.07G077600	650.8504206447267
MgIM767.04G183600	644.638274331653
MgIM767.13G193700	644.0560053366721
MgIM767.14G138500	643.6022594912748
MgIM767.10G069100	639.9722127244536
MgIM767.10G064800	632.1035379987386
MgIM767.14G155300	626.0173232343616
MgIM767.06G018000	624.4608788910301
MgIM767.10G073600	622.6233014141134
MgIM767.05G058600	620.0465410175723
MgIM767.04G045800	619.6087207911978
MgIM767.14G051100	618.2332083581913
MgIM767.14G221400	608.7374296385497
MgIM767.10G081900	608.2634819330136
MgIM767.02G022800	607.1780037524896
MgIM767.12G162800	605.9595016849746
MgIM767.01G111600	599.8113881614834
MgIM767.02G010000	598.9962242108177
MgIM767.05G037900	589.6725685112885
MgIM767.06G013700	587.8800628631642
MgIM767.04G145100	585.4959620250471
MgIM767.04G217800	584.9373533705144
MgIM767.02G139100	580.6382833359766
MgIM767.06G154800	580.3469155664542
MgIM767.14G260500	580.016033881081
MgIM767.11G035100	578.3874144603896
MgIM767.12G084900	578.3660624059736
MgIM767.08G216200	574.7983148081931
MgIM767.13G173700	568.8296962483346
MgIM767.10G004200	561.3899001502552
MgIM767.10G085100	561.2191426652464
MgIM767.10G033500	559.5128775546503
MgIM767.01G105900	558.82354484802
MgIM767.12G155200	556.3589662055191
MgIM767.02G148700	556.3091054658703
MgIM767.03G082200	555.530712207056
MgIM767.08G178200	554.5868552848148
MgIM767.02G179700	554.0168911531607
MgIM767.04G159800	545.1138813807145
MgIM767.03G124000	545.10422798415
MgIM767.01G001300	543.7065651828092
MgIM767.08G042500	541.7519414515141
MgIM767.02G036600	534.1490656648419
MgIM767.04G141000	533.7358802351464
MgIM767.13G120800	532.7615881164464
MgIM767.08G098600	530.8288230566559
MgIM767.13G128300	530.4976269451528
MgIM767.11G119700	529.9716310004238
MgIM767.14G203400	525.2384354483235
MgIM767.08G025200	518.5865295338746
MgIM767.07G028400	516.8099074421384
MgIM767.09G072400	512.7597330222969
MgIM767.04G012100	512.5568685097915
MgIM767.11G123100	512.2154404730176
MgIM767.10G115100	509.7790284779933
MgIM767.07G073900	509.3762064226698
MgIM767.05G060200	509.3059088971192
MgIM767.02G008700	509.1989576394295
MgIM767.10G123900	507.7153429280594
MgIM767.06G029100	507.25770262028766
MgIM767.06G120600	506.3394521172487
MgIM767.04G140800	506.2075349437381
MgIM767.14G125000	503.6773863106129
MgIM767.02G050200	502.60226517199953
MgIM767.14G253900	500.3661117223236
MgIM767.04G080000	499.1750706916074
MgIM767.03G005800	498.9991370122075
MgIM767.04G173900	498.8917953347512
MgIM767.04G082100	497.6881362303552
MgIM767.13G089300	496.90773761092095
MgIM767.14G307100	496.8201189103896
MgIM767.08G128400	495.12660835674
MgIM767.08G158400	492.1347787190784
MgIM767.02G052900	488.48196076973744
MgIM767.14G220400	484.5322034473341
MgIM767.14G135600	484.2788304276557
MgIM767.14G176900	483.48360714601887
MgIM767.06G059100	481.17268710488287
MgIM767.10G141000	475.0521653176776
MgIM767.11G031100	474.5472978788985
MgIM767.05G092800	472.8501962506566
MgIM767.13G087000	471.4038770194893
MgIM767.02G034800	467.5533049828959
MgIM767.04G186100	465.8123420163559
MgIM767.10G171700	464.268084143258
MgIM767.12G000500	462.0166911565729
MgIM767.14G052000	461.9202583954487
MgIM767.01G056300	461.87572137364367
MgIM767.11G089300	460.716313566347
MgIM767.01G088400	459.6925965575142
MgIM767.14G298800	459.3100185167259
MgIM767.14G292600	457.6927478705189
MgIM767.05G080200	456.9537179931901
MgIM767.14G064500	455.0118764129468
MgIM767.13G058200	451.99861578432296
MgIM767.13G048400	450.2074221599414
MgIM767.04G099200	449.5859059351032
MgIM767.09G078200	447.8068012782874
MgIM767.14G270600	444.6009528283832
MgIM767.02G084900	443.91490679368906
MgIM767.09G112000	441.1713460880113
MgIM767.04G007300	440.87410053604384
MgIM767.05G056800	439.2861894940556
MgIM767.11G020700	438.9145405780368
MgIM767.02G049500	438.700555553698
MgIM767.14G116900	438.1456469625611
MgIM767.14G210500	437.9329401346597
MgIM767.12G169900	432.3601642931203
MgIM767.04G076700	432.1220814915026
MgIM767.14G292700	432.00313740136727
MgIM767.14G169600	431.837648146117
MgIM767.05G043200	430.7467344616852
MgIM767.14G234700	427.0393341214058
MgIM767.06G033200	425.5052442747133
MgIM767.06G179900	424.5826532947559
MgIM767.09G089300	424.494451600458
MgIM767.09G083500	423.4247862864771
MgIM767.06G060000	419.7985083127277
MgIM767.02G064600	416.7047073509203
MgIM767.10G088800	414.8703827235583
MgIM767.08G219200	414.608148667695
MgIM767.11G031800	414.6025544431345
MgIM767.06G048800	414.3476894557284
MgIM767.09G049800	413.5261137049076
MgIM767.07G038100	411.6547292082229
MgIM767.04G043700	411.06247631155975
MgIM767.08G191300	410.6136700806646
MgIM767.14G001900	409.9573674749682
MgIM767.04G074800	407.5702271270793
MgIM767.10G113400	405.03774453225344
MgIM767.11G016300	403.8868414130429
MgIM767.12G068000	402.1897616430702
MgIM767.14G066800	401.8988746118735
MgIM767.02G021700	399.8653662608151
MgIM767.02G016400	399.2604605082735
MgIM767.14G237200	397.5138571311737
MgIM767.10G049900	396.7139342042729
MgIM767.10G099800	394.9976291339656
