n,k,count
157,0,110529
150,149,483
158,0,118121
146,0,66595
159,159,16305
159,0,125738
160,0,134808
162,162,20213
162,0,156084
163,163,21855
161,0,144702
163,0,165908
154,2,277
164,0,177333
165,0,191843
166,0,209354
133,128,72
165,165,25511
166,166,28336
164,164,23559
168,0,256181
167,0,229709
161,161,18886
110,0,29737
128,0,42745
154,0,95019
154,154,13220
158,158,15525
158,3,296
160,160,17348
109,0,29150
111,99,11
140,3,159
110,103,16
156,156,14250
152,0,84188
151,0,80165
151,151,11475
150,0,77117
156,0,105883
145,0,63977
141,0,55041
106,0,27931
103,0,27190
137,0,51667
104,5,28
139,0,53343
144,0,61484
157,157,14907
155,0,99455
155,155,13904
151,150,493
153,0,88927
152,152,11820
117,0,34176
153,153,12264
136,0,51323
169,0,293986
141,130,32
167,167,32172
168,168,36783
158,156,372
151,2,268
147,145,213
148,148,10068
148,0,70496
131,121,35
127,0,42151
129,0,43161
169,169,43640
170,0,347374
170,170,53007
171,0,419546
172,0,520170
173,0,653890
172,172,84541
171,171,65633
174,0,831591
175,0,1053447
176,0,1300954
176,176,235674
174,174,143682
179,179,307749
179,0,1634714
180,0,1383822
178,0,1665082
178,178,311201
180,180,262817
178,3,4102
177,0,1534103
181,0,967653
181,181,184363
182,0,535819
182,182,101775
177,177,282141
167,9,304
167,159,291
173,173,109504
175,175,187033
164,155,202
183,0,252464
183,183,47749
184,0,130554
172,23,241
169,162,455
167,160,291
179,178,9404
178,1,10447
167,161,312
184,184,26552
185,185,6403
185,0,32736
177,168,382
173,6,882
148,133,28
149,149,10456
149,0,73282
142,0,56880
144,144,8801
143,0,58968
143,143,8516
140,0,53936
138,0,52343
134,0,48860
133,0,47702
126,126,5739
124,124,5681
123,0,38231
123,123,5523
122,0,37334
121,0,36467
119,0,35002
118,0,33942
112,0,31612
111,0,30365
107,0,28470
108,0,28540
104,0,26719
101,0,25695
103,103,3895
99,0,24769
99,99,3554
96,96,3430
94,0,23710
86,0,18981
87,0,19508
86,86,2665
85,0,19340
83,83,2767
80,0,18507
79,0,17354
73,0,15111
72,0,14894
63,0,12174
62,0,11990
62,62,1568
55,0,10138
56,0,10325
53,0,9985
116,0,33518
120,0,36036
126,0,40407
130,0,44610
132,0,46426
135,0,50556
131,0,46155
115,0,33546
105,0,27156
92,0,22106
85,85,2702
98,0,24724
102,0,26735
116,116,4993
124,0,38949
127,6,40
130,130,6454
131,131,6576
166,8,246
166,7,304
169,9,368
170,9,435
147,0,68219
136,136,7395
120,120,5071
115,115,4837
114,0,33210
100,93,16
149,147,252
150,150,11013
147,147,9728
163,7,177
162,10,157
181,180,4846
172,166,766
172,7,653
170,6,534
171,7,578
173,9,592
176,9,497
178,173,1154
182,1,2206
175,12,370
179,3,3385
177,9,399
183,1,750
169,155,350
171,4,1007
176,172,2302
180,7,172
170,164,559
173,167,868
174,166,723
173,7,780
174,8,634
175,7,794
174,167,785
175,167,635
175,5,1424
181,2,1158
178,8,353
174,168,970
174,4,1922
174,7,760
172,164,611
172,8,660
178,169,293
171,5,754
169,6,435
177,3,4489
179,5,760
170,15,329
178,172,710
176,169,729
175,169,961
177,6,826
181,175,167
182,181,2264
175,171,2188
171,16,293
176,4,2269
181,3,1250
177,173,2280
174,5,1247
176,5,1396
168,12,325
171,158,398
175,3,3796
178,176,4100
177,174,4563
180,2,2129
161,3,381
167,4,432
177,176,10058
178,175,4020
176,1,9133
172,159,463
169,154,291
180,3,2249
181,177,488
180,176,969
179,1,9652
177,175,4498
176,173,4321
176,3,4243
172,9,624
173,24,177
168,38,155
171,141,147
182,3,544
169,157,396
177,1,10325
178,2,4043
179,7,310
179,177,3226
169,10,421
169,11,379
173,164,624
171,169,1741
173,166,758
176,2,4393
174,171,3124
172,165,676
178,177,10264
180,179,7493
173,170,2620
184,1,140
184,183,176
171,164,558
177,5,1306
181,1,4717
180,4,964
180,178,2282
176,168,632
167,13,281
174,2,3274
173,2,2775
180,177,2217
171,3,1627
165,164,1157
168,167,1577
166,163,570
167,1,1377
174,163,506
170,19,311
163,46,164
167,149,249
176,175,9110
172,4,1266
162,46,180
172,157,379
157,148,91
145,45,25
149,108,27
172,1,3847
161,111,146
161,112,186
171,167,998
149,1,454
142,68,24
151,1,519
162,4,255
166,123,165
175,4,2193
119,119,4947
162,146,106
