type,Gene,MeanLog10_exp,Called_sites,frac_mono,frac_poly,pi,exp bin
NS,08G176632,3.148467358586,908,0.983480176211453,0.0165198237885462,0.00250011353726191,2.4
NS,08G165400,3.01234262951743,1284,0.980529595015576,0.0194704049844236,0.000893653761749807,2.4
NS,12G162800,3.00158770292191,1407,0.990049751243781,0.0099502487562189,0.000599356617356036,2.4
NS,09G049300,2.9979939823143,345,0.988405797101449,0.0115942028985507,0.00151854587922194,2.4
NS,12G169900,2.9937949787835,1185,0.985654008438818,0.0143459915611814,0.000609475142965394,2.4
NS,13G003200,2.95387505452083,496,0.995967741935483,0.00403225806451612,9.12E-05,2.4
NS,06G077600,2.93396235290595,1210,0.990082644628099,0.00991735537190082,0.000875539263471846,2.4
NS,08G042100,2.93110641161882,728,0.993131868131868,0.00686813186813186,0.00146020307707117,2.4
NS,06G075100,2.92277952989229,882,0.985260770975056,0.0147392290249433,0.00201304715119254,2.4
NS,08G160300,2.89218719470041,1549,0.991607488702388,0.00839251129761136,0.000361885258492121,2.4
NS,10G141000,2.86217640526508,1789,0.992733370598099,0.0072666294019005,0.000418592231783294,2.4
NS,04G117800,2.80585714795469,1708,0.988290398126463,0.0117096018735363,0.00132220160197029,2.4
NS,12G087300,2.80031651182008,664,0.989457831325301,0.0105421686746987,0.00211219382756733,2.4
NS,02G150900,2.79279098682848,1393,0.987796123474515,0.0122038765254845,0.00147342011047823,2.4
NS,04G190700,2.78487894446363,819,0.986568986568986,0.0134310134310134,0.000888640452811189,2.4
NS,04G201200,2.78111353876081,465,0.987096774193548,0.0129032258064516,0.00239110554168471,2.4
NS,14G110400,2.77777013154153,1207,0.985915492957746,0.0140845070422535,0.00256148219527301,2.4
NS,08G021800,2.77083497566666,848,0.98938679245283,0.0106132075471698,0.00019239187545903,2.4
NS,08G117700,2.75568100059205,481,0.977130977130977,0.0228690228690228,0.00662554937458522,2.4
NS,12G121000,2.75000080303477,616,0.99025974025974,0.00974025974025974,0.00161010800305581,2.4
NS,04G139300,2.73710375148278,114,0.991228070175438,0.0087719298245614,0.00270596712405459,2.4
NS,03G128800,2.72761044423351,530,0.992452830188679,0.00754716981132075,0.000274819671219082,2.4
NS,08G161600,2.71617049455128,266,0.981203007518797,0.018796992481203,0.00541238397198196,2.4
NS,11G119700,2.71104858335593,830,0.990361445783132,0.00963855421686747,0.000542845613496789,2.4
NS,06G100000,2.70990687048599,1237,0.991915925626515,0.00808407437348423,0.000838377788926738,2.4
NS,09G060900,2.70698895084941,639,0.982785602503912,0.0172143974960876,0.000448898133746713,2.4
NS,04G058200,2.69769390480105,716,0.994413407821229,0.00558659217877095,0.000518434953537949,2.4
NS,10G069000,2.69080307819106,1429,0.990902729181245,0.00909727081875437,0.000546416369495409,2.4
NS,02G017600,2.67585833553544,745,0.998657718120805,0.00134228187919463,1.53E-05,2.4
NS,05G133800,2.6613911532991,1940,0.990721649484536,0.00927835051546391,0.00125860901680033,2.4
NS,04G191000,2.65836746921071,795,0.939622641509434,0.060377358490566,0.00625224677720331,2.4
NS,08G195100,2.65743534554414,526,0.982889733840304,0.0171102661596958,0.00263534075659113,2.4
NS,05G037900,2.64713007229829,1015,0.995073891625615,0.00492610837438423,0.00061909369347682,2.4
NS,02G165700,2.64351486249831,542,0.990774907749077,0.00922509225092251,0.00152868917768877,2.4
NS,03G066000,2.64116407665428,700,0.98,0.02,0.00217317977407096,2.4
NS,02G087900,2.63887414887082,737,0.994572591587517,0.00542740841248303,0.000894652007695287,2.4
NS,01G088400,2.62641120320115,1371,0.975929978118162,0.024070021881838,0.0050435376668507,2.4
NS,08G176566,2.61675376350473,1012,0.980237154150197,0.0197628458498023,0.00175929526399213,2.4
NS,11G130500,2.61036309892963,635,0.996850393700787,0.00314960629921259,0.000263491624714583,2.4
NS,11G042600,2.59680025103391,1528,0.982329842931937,0.0176701570680628,0.00317134840929801,2.4
NS,11G070800,2.5958998025869,507,0.994082840236686,0.0059171597633136,0.000413111968305628,2.4
NS,14G260500,2.57765677956507,896,0.979910714285714,0.0200892857142857,0.00280274728736793,2.4
NS,07G076900,2.57628127874247,318,0.987421383647798,0.0125786163522012,0.00271939256516664,2.4
NS,13G118700,2.57554164288381,446,0.970852017937219,0.0291479820627802,0.00532134141517544,2.4
NS,14G051000,2.57534853407368,1148,0.989547038327526,0.0104529616724738,0.00129473097831899,2.4
NS,11G068600,2.56491677070081,556,0.996402877697841,0.00359712230215827,0.000370160575847419,2.4
NS,13G185200,2.55996855366986,444,0.968468468468468,0.0315315315315315,0.00459552686835397,2.4
NS,13G039000,2.54939737572637,1292,0.992260061919504,0.00773993808049535,0.00154999632483269,2.4
NS,14G261200,2.54762583733738,1226,0.986133768352365,0.0138662316476345,0.00192157446074888,2.4
NS,08G158300,2.54413083186883,916,0.985807860262008,0.0141921397379912,0.00209055460770788,2.4
NS,06G096200,2.52897011860137,495,0.995959595959595,0.00404040404040404,0.000379398388169278,2.4
NS,02G085500,2.52747879754385,939,0.976570820021299,0.0234291799787007,0.00433772284061397,2.4
NS,04G080000,2.52715195121709,430,0.995348837209302,0.00465116279069767,0.000165088639537016,2.4
NS,10G166100,2.526786994744,2570,0.985603112840467,0.014396887159533,0.00280526930716532,2.4
NS,12G177300,2.52603485971703,547,0.996343692870201,0.0036563071297989,0.000477399908503208,2.4
NS,07G073700,2.52327019078908,893,0.997760358342665,0.00223964165733482,0.000544435075793588,2.4
NS,08G008200,2.51102518288423,6097,0.883877316713137,0.116122683286862,0.0235005089164043,2.4
NS,14G130900,2.5090219867688,810,0.985185185185185,0.0148148148148148,0.000833177159615634,2.4
NS,08G158400,2.50738053914925,753,0.98273572377158,0.0172642762284196,0.00221506510850106,2.4
NS,02G019400,2.50366744196008,1545,0.992233009708737,0.00776699029126213,0.00192005299910474,2.4
