Chromosome	Compartment	Nuc_Category	Sites	Polymorphic	Pi_sum	Pi_mean	Pi_component	Poly_fraction
Chr_01	intergenic	all	3172507	246434	37782.535585	0.01190936	0.01190936	0.077678
Chr_01	intergenic	C	617479	96279	14770.154580	0.02392009	0.00465567	0.155923
Chr_01	intergenic	G	622709	96707	14791.032688	0.02375272	0.00466225	0.155300
Chr_01	intergenic	AT	1902835	36226	5500.371833	0.00289062	0.00173376	0.019038
Chr_01	intergenic	CG	29484	17222	2720.976484	0.09228654	0.00085767	0.584113
Chr_01	intergenic_upstream_10kb	all	3185543	341658	56336.910395	0.01768518	0.01768518	0.107253
Chr_01	intergenic_upstream_10kb	C	597783	132665	21933.026559	0.03669062	0.00688518	0.221928
Chr_01	intergenic_upstream_10kb	G	594011	131859	21695.002537	0.03652290	0.00681046	0.221981
Chr_01	intergenic_upstream_10kb	AT	1958763	54226	8779.643714	0.00448224	0.00275609	0.027684
Chr_01	intergenic_upstream_10kb	CG	34986	22908	3929.237585	0.11230885	0.00123346	0.654776
Chr_01	intergenic_upstream_2kb	all	1410112	162304	27149.084138	0.01925314	0.01925314	0.115100
Chr_01	intergenic_upstream_2kb	C	260547	62170	10420.078686	0.03999309	0.00738954	0.238613
Chr_01	intergenic_upstream_2kb	G	259930	61973	10331.866259	0.03974865	0.00732698	0.238422
Chr_01	intergenic_upstream_2kb	AT	872973	26995	4438.025455	0.00508381	0.00314729	0.030923
Chr_01	intergenic_upstream_2kb	CG	16662	11166	1959.113738	0.11757975	0.00138933	0.670148
Chr_01	intron	all	826946	98948	16897.052895	0.02043308	0.02043308	0.119655
Chr_01	intron	C	152218	36448	6208.209263	0.04078499	0.00750739	0.239446
Chr_01	intron	G	164917	38733	6580.926308	0.03990448	0.00795811	0.234864
Chr_01	intron	AT	499136	16710	2851.011041	0.00571189	0.00344764	0.033478
Chr_01	intron	CG	10675	7057	1256.906283	0.11774298	0.00151994	0.661077
Chr_01	exon_all	all	1507145	113733	19425.077569	0.01288866	0.01288866	0.075463
Chr_01	exon_all	C	357254	47613	8136.549809	0.02277525	0.00539865	0.133275
Chr_01	exon_all	G	406364	45097	7656.921605	0.01884252	0.00508041	0.110977
Chr_01	exon_all	AT	723757	10581	1780.257978	0.00245975	0.00118121	0.014620
Chr_01	exon_all	CG	19770	10442	1851.348177	0.09364432	0.00122838	0.528174
Chr_01	first_exon_4fold	all	87650	16725	3063.422728	0.03495063	0.03495063	0.190816
Chr_01	first_exon_4fold	C	26720	6384	1130.649758	0.04231474	0.01289960	0.238922
Chr_01	first_exon_4fold	G	25157	6538	1192.759194	0.04741262	0.01360821	0.259888
Chr_01	first_exon_4fold	AT	32548	1506	286.465587	0.00880133	0.00326829	0.046270
Chr_01	first_exon_4fold	CG	3225	2297	453.548190	0.14063510	0.00517454	0.712248
Chr_01	nonfirst_exon_4fold	all	131855	22992	4113.686309	0.03119856	0.03119856	0.174373
Chr_01	nonfirst_exon_4fold	C	30195	8220	1440.047705	0.04769159	0.01092145	0.272231
Chr_01	nonfirst_exon_4fold	G	32848	9891	1801.086080	0.05483092	0.01365960	0.301114
Chr_01	nonfirst_exon_4fold	AT	65591	2687	452.142544	0.00689336	0.00342909	0.040966
Chr_01	nonfirst_exon_4fold	CG	3221	2194	420.409979	0.13052157	0.00318843	0.681155
Chr_02	intergenic	all	4661534	391949	62794.870509	0.01347086	0.01347086	0.084082
Chr_02	intergenic	C	912395	153913	24687.896507	0.02705834	0.00529609	0.168691
Chr_02	intergenic	G	917567	154645	24766.480916	0.02699147	0.00531295	0.168538
Chr_02	intergenic	AT	2784698	56010	8819.874132	0.00316726	0.00189205	0.020113
Chr_02	intergenic	CG	46874	27381	4520.618954	0.09644193	0.00096977	0.584140
Chr_02	intergenic_upstream_10kb	all	4642554	452545	74797.755108	0.01611134	0.01611134	0.097478
Chr_02	intergenic_upstream_10kb	C	861434	174686	28814.342257	0.03344927	0.00620657	0.202785
Chr_02	intergenic_upstream_10kb	G	866885	175508	29045.543686	0.03350565	0.00625637	0.202458
Chr_02	intergenic_upstream_10kb	AT	2865478	72060	11730.672081	0.00409379	0.00252677	0.025148
Chr_02	intergenic_upstream_10kb	CG	48757	30291	5207.197083	0.10679896	0.00112162	0.621265
Chr_02	intergenic_upstream_2kb	all	2214548	232197	39675.275215	0.01791574	0.01791574	0.104851
Chr_02	intergenic_upstream_2kb	C	404487	88555	15128.914687	0.03740272	0.00683160	0.218932
Chr_02	intergenic_upstream_2kb	G	404372	88436	15098.261676	0.03733755	0.00681776	0.218700
Chr_02	intergenic_upstream_2kb	AT	1380918	39201	6606.891990	0.00478442	0.00298340	0.028388
Chr_02	intergenic_upstream_2kb	CG	24771	16005	2841.206862	0.11469892	0.00128297	0.646118
Chr_02	intron	all	1498094	158737	27504.603760	0.01835973	0.01835973	0.105959
Chr_02	intron	C	275945	59005	10195.425794	0.03694731	0.00680560	0.213829
Chr_02	intron	G	301221	61841	10777.170256	0.03577828	0.00719392	0.205301
Chr_02	intron	AT	902413	26346	4494.695814	0.00498075	0.00300028	0.029195
Chr_02	intron	CG	18515	11545	2037.311895	0.11003575	0.00135994	0.623548
Chr_02	exon_all	all	2321312	151758	26354.367752	0.01135322	0.01135322	0.065376
Chr_02	exon_all	C	553411	64581	11247.743275	0.02032439	0.00484543	0.116696
Chr_02	exon_all	G	624648	59492	10250.172285	0.01640952	0.00441568	0.095241
Chr_02	exon_all	AT	1116200	13918	2369.287911	0.00212264	0.00102067	0.012469
Chr_02	exon_all	CG	27053	13767	2487.164280	0.09193673	0.00107145	0.508890
Chr_02	first_exon_4fold	all	132009	22987	4212.819137	0.03191312	0.03191312	0.174132
Chr_02	first_exon_4fold	C	41614	8832	1599.301233	0.03843181	0.01211509	0.212236
Chr_02	first_exon_4fold	G	37579	8918	1630.622079	0.04339184	0.01235236	0.237313
Chr_02	first_exon_4fold	AT	48347	2110	385.234039	0.00796811	0.00291824	0.043643
Chr_02	first_exon_4fold	CG	4469	3127	597.661786	0.13373502	0.00452743	0.699709
Chr_02	nonfirst_exon_4fold	all	210683	32750	5920.547624	0.02810169	0.02810169	0.155447
